Monty Python's Life of Brian (1979),Blood For Dracula (Andy Warhol's Dracula) (1974),Until the End of the World (Bis ans Ende der Welt) (1991),3 Ninjas: High Noon At Mega Mountain (1998),Land and Freedom (Tierra y libertad) (1995),City of Industry (1997),Fresh (1994),"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",Microcosmos: Le peuple de l'herbe (1996),Addams Family Values (1993)
Star Wars (1977),Shall We Dance? (1996),Wild America (1997),Boys Life (1995),Prisoner of the Mountains (Kavkazsky Plennik) (1996),"Turning, The (1992)",High Noon (1952),White Squall (1996),Amityville II: The Possession (1982),August (1996)
Purple Noon (1960),"Low Life, The (1994)",Mother Night (1996),Exotica (1994),"Show, The (1995)","Horse Whisperer, The (1998)",Hercules (1997),Cape Fear (1962),"Wings of the Dove, The (1997)","Perfect World, A (1993)"
Wes Craven's New Nightmare (1994),Meet John Doe (1941),"Wedding Singer, The (1998)",Lost in Space (1998),Mother Night (1996),Cat People (1982),Raise the Red Lantern (1991),Henry V (1989),"African Queen, The (1951)",Desperate Measures (1998)
Romper Stomper (1992),"Truth About Cats & Dogs, The (1996)",Celtic Pride (1996),Lord of Illusions (1995),"Big Sleep, The (1946)","Silence of the Lambs, The (1991)",Days of Thunder (1990),Striptease (1996),Son in Law (1993),Man of the House (1995)
"Silence of the Lambs, The (1991)","Postino, Il (1994)",Caught (1996),Two Much (1996),Cabin Boy (1994),East of Eden (1955),Wild Reeds (1994),Aliens (1986),Bedknobs and Broomsticks (1971),"Letter From Death Row, A (1998)"
Aiqing wansui (1994),Gigi (1958),Wes Craven's New Nightmare (1994),Losing Isaiah (1995),"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",Grease (1978),"Adventures of Robin Hood, The (1938)",Boys (1996),"Godfather: Part II, The (1974)",Senseless (1998)
Braveheart (1995),Star Wars (1977),GoodFellas (1990),Grace of My Heart (1996),Wes Craven's New Nightmare (1994),Picnic (1955),Gigi (1958),Smoke (1995),Unforgiven (1992),Feast of July (1995)
Gigi (1958),Spawn (1997),Calendar Girl (1993),An Unforgettable Summer (1994),Jupiter's Wife (1994),"Sweet Hereafter, The (1997)",SubUrbia (1997),Demolition Man (1993),"Secret of Roan Inish, The (1994)",Wyatt Earp (1994)
Body Parts (1991),"Scarlet Letter, The (1926)","Rainmaker, The (1997)",Turbo: A Power Rangers Movie (1997),Forrest Gump (1994),Two Deaths (1995),Raise the Red Lantern (1991),Wes Craven's New Nightmare (1994),Calendar Girl (1993),White Man's Burden (1995)
Boys on the Side (1995),Jane Eyre (1996),"Bewegte Mann, Der (1994)","Truth About Cats & Dogs, The (1996)",Reservoir Dogs (1992),Richie Rich (1994),Mina Tannenbaum (1994),Naked in New York (1994),Field of Dreams (1989),12 Angry Men (1957)
Gigi (1958),Pink Floyd - The Wall (1982),"Adventures of Robin Hood, The (1938)",Castle Freak (1995),Beverly Hills Ninja (1997),"Bronx Tale, A (1993)",Forrest Gump (1994),Killing Zoe (1994),Deceiver (1997),Exit to Eden (1994)
Field of Dreams (1989),Pulp Fiction (1994),Theodore Rex (1995),"Savage Nights (Nuits fauves, Les) (1992)",I Know What You Did Last Summer (1997),Hana-bi (1997),Mouse Hunt (1997),Land and Freedom (Tierra y libertad) (1995),Conspiracy Theory (1997),Lassie (1994)
