Tom & Viv (1994),Clean Slate (1994),Reckless (1995),Two Bits (1995),Delta of Venus (1994),Cobb (1994),Fall (1997),"Substance of Fire, The (1996)",So I Married an Axe Murderer (1993),Richie Rich (1994)
Speed (1994),Multiplicity (1996),Delta of Venus (1994),Tom & Viv (1994),"Whole Wide World, The (1996)",U Turn (1997),Clean Slate (1994),Devil in a Blue Dress (1995),Three Colors: White (1994),Jury Duty (1995)
Ghost (1990),Steel (1997),Dave (1993),Batman & Robin (1997),Jane Eyre (1996),"Crude Oasis, The (1995)","Fish Called Wanda, A (1988)",Love Serenade (1996),Circle of Friends (1995),Angel and the Badman (1947)
Fatal Instinct (1993),Toy Story (1995),Far From Home: The Adventures of Yellow Dog (1995),Delicatessen (1991),Rudy (1993),Full Speed (1996),City Hall (1996),Clean Slate (1994),Dangerous Ground (1997),My Fair Lady (1964)
Buddy (1997),"Thin Blue Line, The (1988)",Beyond Bedlam (1993),"Big Lebowski, The (1998)",Clerks (1994),"Usual Suspects, The (1995)",Afterglow (1997),Star Wars (1977),"Promesse, La (1996)",High School High (1996)
Delta of Venus (1994),Conspiracy Theory (1997),Go Fish (1994),Young Guns (1988),In the Company of Men (1997),Naked Gun 33 1/3: The Final Insult (1994),"Colonel Chabert, Le (1994)","Piano, The (1993)",Monty Python and the Holy Grail (1974),Young Guns II (1990)
Conspiracy Theory (1997),"Little Rascals, The (1994)",Richie Rich (1994),Duoluo tianshi (1995),Ghost in the Shell (Kokaku kidotai) (1995),"Associate, The (1996)",Mighty Aphrodite (1995),Houseguest (1994),JLG/JLG - autoportrait de décembre (1994),"Substance of Fire, The (1996)"
Bob Roberts (1992),Clean Slate (1994),Homeward Bound II: Lost in San Francisco (1996),GoodFellas (1990),Pharaoh's Army (1995),Playing God (1997),Vanya on 42nd Street (1994),Vampire in Brooklyn (1995),Star Wars (1977),Die Hard (1988)
Conspiracy Theory (1997),"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",My Life as a Dog (Mitt liv som hund) (1985),Devil in a Blue Dress (1995),Drop Dead Fred (1991),"Cowboy Way, The (1994)",Rudy (1993),What Happened Was... (1994),Wild America (1997),It Takes Two (1995)
Children of the Revolution (1996),Muppet Treasure Island (1996),Clean Slate (1994),Rebel Without a Cause (1955),Tokyo Fist (1995),My Fair Lady (1964),Star Trek: Generations (1994),Aliens (1986),Duck Soup (1933),Delicatessen (1991)
Tom & Viv (1994),Delta of Venus (1994),Titanic (1997),Reckless (1995),Three Colors: White (1994),So I Married an Axe Murderer (1993),When a Man Loves a Woman (1994),"First Wives Club, The (1996)",Devil in a Blue Dress (1995),Absolute Power (1997)
My Fair Lady (1964),"Mask, The (1994)",First Kid (1996),"Whole Wide World, The (1996)","Simple Twist of Fate, A (1994)",Homeward Bound II: Lost in San Francisco (1996),Funny Face (1957),Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),For Ever Mozart (1996),Aliens (1986)
Tom & Viv (1994),Pulp Fiction (1994),Delta of Venus (1994),When a Man Loves a Woman (1994),"Hungarian Fairy Tale, A (1987)",Young Guns (1988),Crumb (1994),I Can't Sleep (J'ai pas sommeil) (1994),So I Married an Axe Murderer (1993),Roman Holiday (1953)
Tom & Viv (1994),Delicatessen (1991),Nina Takes a Lover (1994),Independence Day (ID4) (1996),When a Man Loves a Woman (1994),Pink Floyd - The Wall (1982),Fear (1996),Clean Slate (1994),Some Like It Hot (1959),Cobb (1994)
Marked for Death (1990),S.F.W. (1994),Dave (1993),"Fifth Element, The (1997)",Operation Dumbo Drop (1995),Crossfire (1947),Giant (1956),B*A*P*S (1997),Apt Pupil (1998),Albino Alligator (1996)
Conspiracy Theory (1997),"Lost World: Jurassic Park, The (1997)",Star Trek: Generations (1994),National Lampoon's Senior Trip (1995),When a Man Loves a Woman (1994),Rudy (1993),Independence Day (ID4) (1996),Young Guns (1988),1-900 (1994),JLG/JLG - autoportrait de décembre (1994)
Ma vie en rose (My Life in Pink) (1997),Willy Wonka and the Chocolate Factory (1971),"Time to Kill, A (1996)","Silence of the Lambs, The (1991)",Tough and Deadly (1995),Blues Brothers 2000 (1998),Austin Powers: International Man of Mystery (1997),Jane Eyre (1996),Looking for Richard (1996),Dumb & Dumber (1994)
Delicatessen (1991),Tom & Viv (1994),"Substance of Fire, The (1996)",Clean Slate (1994),Pulp Fiction (1994),Roman Holiday (1953),Absolute Power (1997),Nina Takes a Lover (1994),Sudden Death (1995),Little Women (1994)
Butch Cassidy and the Sundance Kid (1969),Tom & Viv (1994),Delta of Venus (1994),"Clockwork Orange, A (1971)","Walk in the Sun, A (1945)",Carrie (1976),"World of Apu, The (Apur Sansar) (1959)","First Wives Club, The (1996)",Wild Things (1998),I Can't Sleep (J'ai pas sommeil) (1994)
"Beans of Egypt, Maine, The (1994)",Basquiat (1996),"Magnificent Seven, The (1954)",Daniel Defoe's Robinson Crusoe (1996),Love Serenade (1996),Fled (1996),Chungking Express (1994),Bread and Chocolate (Pane e cioccolata) (1973),Like Water For Chocolate (Como agua para chocolate) (1992),"Beverly Hillbillies, The (1993)"
Sliver (1993),"Room with a View, A (1986)",Private Parts (1997),3 Ninjas: High Noon At Mega Mountain (1998),Power 98 (1995),101 Dalmatians (1996),"Godfather: Part II, The (1974)",Year of the Horse (1997),Bogus (1996),"Great Race, The (1965)"
"Designated Mourner, The (1997)",Destiny Turns on the Radio (1995),Princess Caraboo (1994),"Browning Version, The (1994)",Mother Night (1996),"Nightmare on Elm Street, A (1984)",Hard Eight (1996),Tom & Viv (1994),So I Married an Axe Murderer (1993),"City of Lost Children, The (1995)"
Tom & Viv (1994),Evil Dead II (1987),"Fog, The (1980)",Star Trek V: The Final Frontier (1989),Mighty Aphrodite (1995),Devil in a Blue Dress (1995),"First Wives Club, The (1996)",Blade Runner (1982),Pulp Fiction (1994),JLG/JLG - autoportrait de décembre (1994)
Rudy (1993),Happy Gilmore (1996),"Bewegte Mann, Der (1994)",When a Man Loves a Woman (1994),Lotto Land (1995),Delicatessen (1991),G.I. Jane (1997),Body Parts (1991),Con Air (1997),Cobb (1994)
JLG/JLG - autoportrait de décembre (1994),"Ice Storm, The (1997)",Conspiracy Theory (1997),"Pillow Book, The (1995)",Tokyo Fist (1995),Female Perversions (1996),Outbreak (1995),Before and After (1996),"Substance of Fire, The (1996)",For Ever Mozart (1996)
Phenomenon (1996),"Time to Kill, A (1996)",Oscar & Lucinda (1997),Nothing to Lose (1994),Pete's Dragon (1977),That Darn Cat! (1997),Wild America (1997),Blood & Wine (1997),Vegas Vacation (1997),"Magnificent Seven, The (1954)"
Chasing Amy (1997),Independence Day (ID4) (1996),Naked (1993),Once Upon a Time in America (1984),Dunston Checks In (1996),Amos & Andrew (1993),Blood & Wine (1997),"Man from Down Under, The (1943)",Blues Brothers 2000 (1998),Face/Off (1997)
Rudy (1993),Tom & Viv (1994),Clean Slate (1994),When a Man Loves a Woman (1994),Conspiracy Theory (1997),Fall (1997),Body Snatchers (1993),"Women, The (1939)","Funeral, The (1996)","Game, The (1997)"
Star Wars (1977),Donnie Brasco (1997),Heaven & Earth (1993),Apt Pupil (1998),"Awfully Big Adventure, An (1995)",Joe's Apartment (1996),My Life as a Dog (Mitt liv som hund) (1985),Picture Bride (1995),"Cement Garden, The (1993)",Notorious (1946)
Tom & Viv (1994),Waiting for Guffman (1996),"English Patient, The (1996)",Fear (1996),Delicatessen (1991),Nina Takes a Lover (1994),Marked for Death (1990),"American in Paris, An (1951)",Pink Floyd - The Wall (1982),Sleeper (1973)
When a Man Loves a Woman (1994),Fall (1997),Devil in a Blue Dress (1995),Breakdown (1997),Poison Ivy II (1995),Some Like It Hot (1959),What's Love Got to Do with It (1993),For Ever Mozart (1996),Dragonheart (1996),Nina Takes a Lover (1994)
Tom & Viv (1994),Delta of Venus (1994),Fear (1996),"First Wives Club, The (1996)",So I Married an Axe Murderer (1993),U Turn (1997),Pulp Fiction (1994),Young Guns (1988),"Murder, My Sweet (1944)",Absolute Power (1997)
Devil in a Blue Dress (1995),Titanic (1997),Tom & Viv (1994),When a Man Loves a Woman (1994),Delta of Venus (1994),Shopping (1994),Young Guns (1988),Fear (1996),Conspiracy Theory (1997),Rosencrantz and Guildenstern Are Dead (1990)
Duck Soup (1933),Benny & Joon (1993),My Fair Lady (1964),Germinal (1993),Chasing Amy (1997),Relative Fear (1994),Happy Gilmore (1996),Rudy (1993),Moll Flanders (1996),Like Water For Chocolate (Como agua para chocolate) (1992)
Kull the Conqueror (1997),Crossfire (1947),Operation Dumbo Drop (1995),Dave (1993),Nothing to Lose (1994),Cat on a Hot Tin Roof (1958),"Remains of the Day, The (1993)",Apt Pupil (1998),Serial Mom (1994),"Promise, The (Versprechen, Das) (1994)"
Body Parts (1991),Phantoms (1998),"Very Brady Sequel, A (1996)",Washington Square (1997),Madonna: Truth or Dare (1991),Roman Holiday (1953),Escape to Witch Mountain (1975),Mad City (1997),Two Bits (1995),Young Guns (1988)
"Game, The (1997)",Delta of Venus (1994),Clean Slate (1994),Tom & Viv (1994),Pulp Fiction (1994),"First Wives Club, The (1996)",Aliens (1986),"Whole Wide World, The (1996)",When a Man Loves a Woman (1994),"Clockwork Orange, A (1971)"
"Fish Called Wanda, A (1988)","Jungle Book, The (1994)",Top Gun (1986),Aladdin (1992),"House of the Spirits, The (1993)",Conspiracy Theory (1997),"Walk in the Sun, A (1945)",Cinderella (1950),"Stupids, The (1996)",To Gillian on Her 37th Birthday (1996)
Tom & Viv (1994),Delta of Venus (1994),Clean Slate (1994),"First Wives Club, The (1996)",Reckless (1995),Titanic (1997),Wild Things (1998),When a Man Loves a Woman (1994),So I Married an Axe Murderer (1993),Devil in a Blue Dress (1995)
Red Corner (1997),"Woman in Question, The (1950)",Deconstructing Harry (1997),"Beans of Egypt, Maine, The (1994)",Four Rooms (1995),Trust (1990),Being Human (1993),Tetsuo II: Body Hammer (1992),Beverly Hills Ninja (1997),"Man Without a Face, The (1993)"
Tom & Viv (1994),Delta of Venus (1994),Liebelei (1933),When a Man Loves a Woman (1994),Devil in a Blue Dress (1995),"Reluctant Debutante, The (1958)","Clockwork Orange, A (1971)",So I Married an Axe Murderer (1993),Young Guns (1988),Angel and the Badman (1947)
Beauty and the Beast (1991),Another Stakeout (1993),Angel and the Badman (1947),"Secret Agent, The (1996)",Tom & Viv (1994),"Little Princess, The (1939)","Clockwork Orange, A (1971)",Home Alone (1990),Absolute Power (1997),Some Like It Hot (1959)
Delta of Venus (1994),Tom & Viv (1994),Absolute Power (1997),Hard Eight (1996),It's My Party (1995),"Journey of August King, The (1995)","Rainmaker, The (1997)",Tales from the Crypt Presents: Bordello of Blood (1996),"Walk in the Sun, A (1945)",Bad Company (1995)
Rudy (1993),Full Speed (1996),"Empire Strikes Back, The (1980)",Mallrats (1995),"Ice Storm, The (1997)",Conspiracy Theory (1997),Good Morning (1971),Drop Dead Fred (1991),Addicted to Love (1997),"Big One, The (1997)"
Naked Gun 33 1/3: The Final Insult (1994),"Godfather, The (1972)",Night Falls on Manhattan (1997),"Murder, My Sweet (1944)",Waterworld (1995),"Colonel Chabert, Le (1994)",Flirt (1995),Mystery Science Theater 3000: The Movie (1996),So I Married an Axe Murderer (1993),Clean Slate (1994)
Another Stakeout (1993),It Takes Two (1995),Muppet Treasure Island (1996),"Slingshot, The (1993)",Vampire in Brooklyn (1995),Angela (1995),Conspiracy Theory (1997),Body Snatchers (1993),"Boot, Das (1981)",Devil in a Blue Dress (1995)
Delta of Venus (1994),Tom & Viv (1994),Anne Frank Remembered (1995),Titanic (1997),Half Baked (1998),Ransom (1996),Fall (1997),Devil in a Blue Dress (1995),Young Guns (1988),So I Married an Axe Murderer (1993)
